NAME,RECORD,NICKNAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Tom Aspinall,Record: 15-3-0 (1 NC),,"6' 5""",255 lbs.,"78""",Orthodox,"Apr 11, 1993",7.63,67%,3.62,56%,2.62,80%,100%,1.3
Khamzat Chimaev,Record: 15-0-0,Borz,"6' 2""",185 lbs.,"75""",Orthodox,"May 01, 1994",4.04,60%,2.32,43%,5.29,55%,85%,1.8
Mackenzie Dern,Record: 16-5-0,,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.47,41%,3.93,51%,0.93,18%,37%,1.1
Justin Gaethje,Record: 27-5-0,The Highlight,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",6.48,58%,7.05,51%,0.33,40%,74%,0.0
Kayla Harrison,Record: 19-1-0,,"5' 8""",135 lbs.,"66""",Southpaw,"Jul 02, 1990",4.29,62%,1.10,66%,2.84,37%,100%,0.9
Islam Makhachev,Record: 28-1-0,,"5' 10""",170 lbs.,"70""",Southpaw,"Oct 27, 1991",2.45,58%,1.45,61%,3.10,56%,91%,1.0
Alex Pereira,Record: 13-3-0,Poatan,"6' 4""",205 lbs.,"79""",Orthodox,"Jul 07, 1987",5.16,62%,3.50,53%,0.11,50%,79%,0.2
Valentina Shevchenko,Record: 26-4-1,Bullet,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",3.04,52%,2.00,63%,2.65,61%,76%,0.3
Ilia Topuria,Record: 17-0-0,El Matador,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 21, 1997",4.81,48%,3.83,64%,1.96,61%,93%,1.1
Joshua Van,Record: 16-2-0,The Fearless,"5' 5""",125 lbs.,"65""",Orthodox,"Oct 10, 2001",8.84,56%,6.39,57%,0.84,63%,81%,0.0
Alexander Volkanovski,Record: 28-4-0,The Great,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",5.99,57%,3.31,58%,1.63,34%,68%,0.2
Petr Yan,Record: 20-5-0,No Mercy,"5' 7""",135 lbs.,"67""",Switch,"Feb 11, 1993",5.16,54%,4.24,59%,1.70,49%,86%,0.1
